Row.names,p1p1x.x,p2p2x.x,h_cgvc.x,ang_NHs.x,ang_CHs.x,dist_NC.x,dist_NH.x,dist_CH.x,h_scvc.x,h_norm.x,h_sc_x.x,n_psi.x,r_curv.x,r3r3x.x,dfg,V16,V17,source,V19,p1p1x.y,p2p2x.y,h_cgvc.y,ang_NHs.y,ang_CHs.y,dist_NC.y,dist_NH.y,dist_CH.y,h_scvc.y,h_norm.y,h_sc_x.y,n_psi.y,r_curv.y,r3r3x.y
1E1V_A,-0.0451205401692486,0.0205311334518703,-0.325346821902221,0.361122507350369,0.248241445919865,-0.0426258305132048,0.465780627136555,0.389029130649034,-0.41073077147308,-0.334568331361577,-0.022744712635807,0.00367811746092167,0.0634359980068383,0.0108234839384119,di,co,0.9975,test,co-di,0.672726944,0.789898034,0.235369779,91.7121429,63.66428726,9.808430672,15.51772118,12.56758118,0.111265286,0.169960807,0.98454832,93.9653344,0.0357406,0.805099014
1E1X_A,0.00878257374782626,0.0195230818148876,-0.356915905248304,0.376623479411574,0.242255781002447,-0.0335948744444935,0.466578510236652,0.410610052864158,-0.45297083883092,-0.354618894731268,-0.040925687536945,0.0152504619823501,0.0570994856113469,0.0090175462320141,di,co,0.999,test,co-di,0.764346308,0.788131154,0.178382286,93.55914403,62.93900079,9.984563828,15.52868176,12.75469875,0.036098297,0.136102411,0.978104135,94.23571058,0.034301445,0.801911069
1E9H_A,0.143031786013841,0.13715286170663,0.0871340956593248,-0.12986203968592,-0.123933555856277,-0.0120753233004658,-0.125631227466101,-0.155406673720329,0.082922617386934,0.132081340777803,0.0122447766032937,-0.0737678142278829,0.0095186840183256,0.12039076230955,di,ci,0.9995,test,ci-di,0.992530295,0.994308792,0.979967053,33.20942387,18.56762766,10.4042654,7.393452168,7.847045898,0.989730714,0.957969059,0.996950226,92.15588817,0.023494846,0.998513469
1EH4_A,0.140325925633582,0.116563122899125,0.0588223100405411,-0.0427518044003179,-0.16210801623953,-0.0281849753290173,-0.146586608336171,-0.225347707673847,0.0749224243333129,0.0255447604571686,0.00923235115851788,-0.101873606813843,-0.0611974380251129,0.113263173661035,di,ci,1,training,ci-di,0.987931132,0.95821977,0.928859529,43.58894732,13.94200628,10.09007454,7.105586529,7.240621567,0.975494221,0.778065998,0.995882482,91.49922462,0.00743373,0.98593144
1ERK_A,0.146069152257577,0.138234875241486,0.0817003836499214,-0.133211836388418,-0.0807578047596784,0.0790068289360798,0.00970651254340519,-0.211238170306371,0.0733341988045251,0.133757492131244,0.0104118404892897,-0.315286745290087,-0.0153406602284188,0.118170472012368,di,ci,0.964,test,ci-di,0.99769292,0.99620531,0.970158291,32.81028256,23.79925832,12.18066502,9.252596855,7.362958431,0.972667944,0.960799493,0.996300548,86.51304148,0.017848767,0.994594085
1F0Q_A,0.128780362110003,0.134054170377751,0.0924036345660363,-0.124783848728977,-0.119415155804936,-0.056345828708694,-0.102999410602688,-0.0993555809024227,0.0873263969473602,0.127782489392583,0.0105085235964457,0.0418897770897893,0.0204540535122904,0.115822105779676,di,ci,0.999,test,ci-di,0.968307086,0.988877507,0.989479455,33.81451008,19.1151248,9.540845871,7.704347134,8.333037376,0.997567322,0.950709801,0.996334817,94.85811136,0.025978498,0.990448614
1F3M_C,0.107182637613528,0.0854622292811191,0.0119658856117313,0.116846318965539,-0.0495452087410821,0.164362270125031,0.199991859457836,0.376220066485652,0.0468751003576324,-0.0372944785041334,-0.011501394634676,0.316095117526016,0.0428326627656154,0.0913745517581471,di,co,0.573,test,co-di,0.931597337,0.903707139,0.84427582,62.60568466,27.58130658,13.84537506,11.86656094,12.45652008,0.925583484,0.671952479,0.988533476,101.2646431,0.03106115,0.947292387
1F5Q_A,0.128656367613921,0.128274242437253,0.0862160535846753,-0.0497503130132402,-0.117124797389971,0.0236198105608575,-0.0827164994533747,-0.0265648007160849,0.087806025516897,0.0586880624381292,0.00733159100832919,0.0117878236002678,0.0296426051921387,0.107505173903229,di,ci,0.98,test,ci-di,0.968096332,0.978746638,0.978309833,42.75504779,19.39264885,11.10043716,7.982975006,8.964170456,0.99842083,0.834033455,0.995208764,94.15480952,0.028065411,0.975767088
1FGI_A,0.05735421732551,0.0369421796421554,0.0606979417596917,-0.0127934095008352,-0.134729088035646,0.0416479344120354,-0.135143099742278,-0.0749452600499544,0.0736054221442023,-0.00551039019995063,0.0142875412132704,0.126854329318157,0.000727189422547753,0.0270019081759009,di,ci,0.984,test,ci-di,0.846903748,0.81866278,0.932245359,47.15860663,17.2595268,11.45204449,7.262786865,8.544687271,0.973150591,0.725624699,0.997674277,96.84322259,0.021498113,0.833658098
1FGK_A,0.0180938488680838,0.0277819205995371,0.0677582465912052,-0.0197644412098809,-0.135299502338195,0.0369579629538217,-0.144368288063143,-0.0955370376287207,0.0773598334166926,-0.00488617107742546,0.0149965252740526,0.148923700042576,0.00723165194524989,0.0241347241371958,di,ci,0.984,test,ci-di,0.780172724,0.802606977,0.944990394,46.32798108,17.19040937,11.36057472,7.136059761,8.366146088,0.979831636,0.726678787,0.997925574,97.35885122,0.022975413,0.82859678
